Type,Sku,supplier_sku,supplier_name,Name,Brand Name,Short Description,Description,Part Number,In stock,Regular Price,_supplier_price,New Category Path,Special Price,min_order,sale_term,Focus Keyword,Meta _Description,Estimated Dispatch,,Images,datasheet_pdf,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,Civil Defence Approved,,product_url
,pack-0021,,,"2"" Tape Dispenser",,"2"" Tape Dispenser","Boost your productivity with the Desktop Tape Dispenser. Its sleek wave design looks great and complements most office decor. Our dispenser is weighted for easy, one-handed dispensing to save time and effort.",,2,547.5,,Tapes>Dispensers>Tape Dispenser,,,,,"2"" Tape Dispenser",,,https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/u/p/uptd_1__1_1.jpg,,"Permanent, easy load tape core","Weighted for easy, one-handed dispensing.",Ideal for desk and light applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0022,,,"3"" Tape Dispenser",,"3"" Tape Dispenser","Boost your productivity with the Desktop Tape Dispenser. Its sleek wave design looks great and complements most office decor. Our dispenser is weighted for easy, one-handed dispensing to save time and effort.",,2,749.21,,Tapes>Dispensers>Tape Dispenser,,,,,"3"" Tape Dispenser",,,https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/i/m/img_24791.jpg,,"Permanent, easy load tape core","Weighted for easy, one-handed dispensing.",Ideal for desk and light applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0023,,,"2"" x 60 Yard Silver Duct Tape - 3/Case",,"2"" x 60 Yard Silver Duct Tape - 3/Case","Aggressive adhesive holds tightly and backing conforms to the rough surface. Strong waterproof backing for long term resistance to wear, abrasion, moisture, and weathering.Aggressive adhesion to most surfaces. Tack-free edges. Writable surface. Meets UL723, had, and Boca codes.",,,93.62144,,Tapes>Duct Tape>Silver Duct Tape,,,,,"2"" x 60 Yard Silver Duct Tape - 3/Case",,,https://cdn.shopify.com/s/files/1/2618/8176/products/silver-duct-tape_566c0188-0395-4cc4-bd99-894ea6b93436_2000x.jpg,,"General purpose tape for bundling, sealing and light repairs.",Moisture and tear resistant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0024,,,"2"" x 60 Yard Silver Duct Tape - 24 rolls/case 24/Case",,"2"" x 60 Yard Silver Duct Tape - 24 rolls/case 24/Case","Aggressive adhesive holds tightly and backing conforms to the rough surface. Strong waterproof backing for long term resistance to wear, abrasion, moisture, and weathering.Aggressive adhesion to most surfaces. Tack-free edges. Writable surface. Meets UL723, had, and Boca codes.",,,220.54639,,Tapes>Duct Tape>Silver Duct Tape,,,,,"2"" x 60 Yard Silver Duct Tape - 24 rolls/case 24/Case",,,https://cdn.shopify.com/s/files/1/2618/8176/products/silver-duct-tape_d76765f4-fea1-4be3-b0ff-f9b24ad0386e_2000x.jpg,,"General purpose tape for bundling, sealing and light repairs.",Moisture and tear resistant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0025,,,"3"" x 60 Yard Silver Duct Tape - 16 rolls/case 16/Case",,"3"" x 60 Yard Silver Duct Tape - 16 rolls/case 16/Case","Aggressive adhesive holds tightly and backing conforms to the rough surface. Strong waterproof backing for long term resistance to wear, abrasion, moisture, and weathering.Aggressive adhesion to most surfaces. Tack-free edges. Writable surface. Meets UL723, had, and Boca codes.",,,516.56167,,Tapes>Duct Tape>Silver Duct Tape,,,,,"3"" x 60 Yard Silver Duct Tape - 16 rolls/case 16/Case",,,https://cdn.shopify.com/s/files/1/2618/8176/products/silver-duct-tape_14f7f749-35f6-49dd-b3c1-f85c7884403d_2000x.jpg,,"General purpose tape for bundling, sealing and light repairs.",Moisture and tear resistant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0026,,,"3"" x 60 Yard Silver Duct Tape - 3/Case",,"3"" x 60 Yard Silver Duct Tape - 3/Case","Aggressive adhesive holds tightly and backing conforms to the rough surface. Strong waterproof backing for long term resistance to wear, abrasion, moisture, and weathering.Aggressive adhesion to most surfaces. Tack-free edges. Writable surface. Meets UL723, had, and Boca codes.",,,132.64229,,Tapes>Duct Tape>Silver Duct Tape,,,,,"3"" x 60 Yard Silver Duct Tape - 3/Case",,,https://cdn.shopify.com/s/files/1/2618/8176/products/silver-duct-tape_14f7f749-35f6-49dd-b3c1-f85c7884403d_2000x.jpg,,"General purpose tape for bundling, sealing and light repairs.",Moisture and tear resistant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0027,,,"2"" x 35 Yard Gorilla Duct Tape",,"2"" x 35 Yard Gorilla Duct Tape","An incredibly strong adhesive for the toughest jobs. Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip. Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand. Rugged, weather resistant shell helps create a barrier that can withstand harsh elements.",,,50.74139,,Tapes>Duct Tape>Gorilla Duct Tape,,,,,"2"" x 35 Yard Gorilla Duct Tape",,,https://cdn.shopify.com/s/files/1/2618/8176/products/2-x-35-yards-gorilla-duct-tape_2000x.jpg,,"Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip.","Rugged, weather-resistant shell helps create a barrier that can withstand harsh elements.","Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand.",17 Mil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0028,,,"2"" x 30 Yard White Gorilla Duct Tape",,"2"" x 30 Yard White Gorilla Duct Tape","An incredibly strong adhesive for the toughest jobs. Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip. Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand. Rugged, weather resistant shell helps create a barrier that can withstand harsh elements.",,,50.16966,,Tapes>Duct Tape>Gorilla Duct Tape,,,,,"2"" x 30 Yard White Gorilla Duct Tape",,,https://cdn.shopify.com/s/files/1/2618/8176/products/2-x-30-yards-white-gorilla-duct-tape_2000x.jpg,,"Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip.","Rugged, weather-resistant shell helps create a barrier that can withstand harsh elements.","Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand.",17 Mil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0029,,,"3"" x 30 Yard Black Gorilla Duct Tape",,"3"" x 30 Yard Black Gorilla Duct Tape","An incredibly strong adhesive for the toughest jobs. Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip. Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand. Rugged, weather resistant shell helps create a barrier that can withstand harsh elements.",,,72.03848,,Tapes>Duct Tape>Gorilla Duct Tape,,,,,"3"" x 30 Yard Black Gorilla Duct Tape",,,https://cdn.shopify.com/s/files/1/2618/8176/products/3-x-30-yards-black-gorilla-duct-tape_2000x.jpg,,"Double thick adhesive fills in gaps on rough, uneven surfaces for extra grip.","Rugged, weather-resistant shell helps create a barrier that can withstand harsh elements.","Tough, reinforced backing contributes to the tape's durability and strength, but it can still be ripped by hand.",17 Mil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0030,,,"1/2"" x 36 Yard Adhesive Transfer Tape 2/Case",,"1/2"" x 36 Yard Adhesive Transfer Tape 2/Case","Finger touch application of premium pressure sensitive adhesive. Soft acrylic pressure-sensitive adhesive system features very high initial adhesion and good shear holding power to a wide variety of materials including most plastics. High strength, high tack 5-mil adhesive adheres to many difficult-to-bond materials. Readily bond, join, mount or laminate materials such as paper, plastics, metal, foam and more. Reverse-wound on a 1"" core. Ideal tape application temperature range is 70°F - 100°F. Densified Kraft paper liner with a high strength acrylic adhesive.",,2,46.88219,,Tapes>Adhesive Transfer>Adhesive Transfer Tape,,,,,"1/2"" x 36 Yard Adhesive Transfer Tape 2/Case",,,https://cdn.shopify.com/s/files/1/2618/8176/products/adhesive_transfer_tape_2000x.jpg,,Finger touch application of general purpose pressure sensitive adhesive.,Works best on smooth surfaces.,Applies a precise strip of adhesive.,Liner rewinds into the dispenser.,"1"" core size.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
