Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
variation,ps00035,,Heavy Duty Duct Tape/Binding Tape - Green,,Heavy Duty Duct Tape/Binding Tape - Green,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Green,Heavy Duty Duct Tape/Binding Tape - Green,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/71uWjkDEc2L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61as5X6acML._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61YBIEmRfqL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/716ghy1l6wL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71QkIX4yuvL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00035-1,ps00035,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00035-2,ps00035,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00035-3,ps00035,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00036,,Heavy Duty Duct Tape/Binding Tape - Blue,,Heavy Duty Duct Tape/Binding Tape - Blue,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Blue,Heavy Duty Duct Tape/Binding Tape - Blue,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/81Q3TkSAAZL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/81GlcgPg2hL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71PBo05mU4L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/81XPWx812eL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61VLFDiX+oL._AC_SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00036-1,ps00036,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00036-2,ps00036,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00036-3,ps00036,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00037,,Heavy Duty Duct Tape/Binding Tape - Black,,Heavy Duty Duct Tape/Binding Tape - Black,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Black,Heavy Duty Duct Tape/Binding Tape - Black,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/812rjs0H3eL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/81tXcEY0D0L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/615pLczhCeL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71I7Zy5gNNL._AC_SL1200_.jpg||https://m.media-amazon.com/images/I/71ktoyxmNmL._AC_SL1200_.jpg||https://m.media-amazon.com/images/I/71IcCJAkTJL._AC_SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00037-1,ps00037,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00037-2,ps00037,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00037-3,ps00037,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00038,,Heavy Duty Duct Tape/Binding Tape - Grey,,Heavy Duty Duct Tape/Binding Tape - Grey,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Grey,Heavy Duty Duct Tape/Binding Tape - Grey,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/71BzGEl2FDL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61lW5O8EQIL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61co8kpzZtL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61VLFDiX+oL._AC_SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00038-1,ps00038,,,,,,,140,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00038-2,ps00038,,,,,,,210,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00038-3,ps00038,,,,,,,350,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00039,,Heavy Duty Duct Tape/Binding Tape - Red,,Heavy Duty Duct Tape/Binding Tape - Red,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Red,Heavy Duty Duct Tape/Binding Tape - Red,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/91S-jU5mAqL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/715wu6u83bL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/6120CrVd86L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71Ejx3VjT8L._AC_SL1200_.jpg||https://m.media-amazon.com/images/I/81WfpD30VJL._AC_SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00039-1,ps00039,,,,,,,30,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00039-2,ps00039,,,,,,,40,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00039-3,ps00039,,,,,,,65,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,ps00040,,Heavy Duty Duct Tape/Binding Tape - Yellow,,Heavy Duty Duct Tape/Binding Tape - Yellow,"Duct Tape is the all-around tool for temporary repairs and quick fixes around the house, garden or garage.With its high adhesion and easy-to-tear application, this workbench favorite is great for holding, seaming, sealing and bundling.",,1,,,,,Heavy Duty Duct Tape/Binding Tape - Yellow,Heavy Duty Duct Tape/Binding Tape - Yellow,Tape>Duct Tape>Colored Duct Tape,https://m.media-amazon.com/images/I/51ZUBrrugkL._AC_.jpg||https://m.media-amazon.com/images/I/81-nfH9XoXL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/71cAHvx9D8L._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/81FhTLhnhjL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00040-1,ps00040,,,,,,,30,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00040-2,ps00040,,,,,,,40,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00040-3,ps00040,,,,,,,65,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
